00020134;20180801
00020609;20180301
00101830;20180901
00105510;20181201
00107549;20181101
00110689;20180101
00111212;20180101
00113789;20180101
00130494;20180801
00114239;20180901
00117952;20180101
00117955;20180101
00127445;20180301
00118465;20181001
00118758;20180101
00119115;20180401
00119225;20180401
00119557;20180401
00120113;20181101
00121460;20180101
00117023;20180701
00121628;20180101
00122901;20180401
00123135;20180401
00123175;20180501
00123281;20180101
00123282;20180101
00126186;20180101
00123821;20180501
00105116;20180901
00123867;20180101
00131228;20180701
00128528;20180301
00124037;20180101
00124503;20180101
00124520;20180101
00124523;20180101
00124652;20180101
00124894;20180901
00125681;20180101
00125682;20180101
00125684;20180101
00134409;20180901
00130724;20180601
00126092;20180101
00126538;20180101
00126555;20180801
00126798;20180101
00126863;20180701
00126888;20180101
00126889;20180101
00117532;20180701
00126890;20180101
00132410;20180901
00126978;20180901
00127130;20180901
00128451;20181101
00128547;20180401
00128563;20180401
00128565;20180501
00128567;20180401
00128569;20181001
00128572;20180401
00128574;20180401
00128577;20180401
00128609;20180801
00128699;20180701
00128896;20180401
00129175;20181001
00129218;20181101
00129244;20180801
00129341;20180401
00129426;20180501
00129428;20180501
00129429;20180501
00129454;20180501
00129457;20180501
00129459;20180501
00127232;20180601
00129461;20180501
00129609;20180501
00129844;20180501
00130273;20180601
00114018;20180101
00130315;20180901
00130378;20180801
00130470;20180901
00130688;20180601
00131206;20180601
00131215;20180601
00118032;20180901
00131217;20180601
00131225;20180601
00133107;20180801
00131245;20180601
00131265;20180601
00021351;20180701
00131295;20180601
00131317;20181101
00131399;20180601
00130468;20180801
00131405;20180601
00131408;20180601
00131433;20181101
00131451;20181101
00131739;20181101
00131920;20180601
00131922;20180601
00131924;20180601
00130500;20180801
00131930;20180601
00131946;20180901
00132269;20180701
00137200;20180901
00130534;20180901
00132718;20180801
00132722;20180801
00131768;20180701
00132724;20180801
00132725;20180801
00132824;20181001
00133081;20180901
00133273;20180101
00133665;20180901
00134377;20181101
00134473;20181101
00137148;20180901
00137404;20181001
00137724;20181101
00131851;20180701
00131765;20180701
00137798;20181101
00137832;20181001
00138242;20181101
00138361;20181101
00138747;20181201
00130570;20180801
00138837;20181201
00130450;20180901
00138904;20181201
00138916;20181201
00139148;20181201
